iter	Logloss
0	0.6906791794
1	0.6884335376
2	0.686363467
3	0.6841674301
4	0.6824038156
5	0.6799839278
6	0.6779729564
7	0.6761530577
8	0.6739763798
9	0.6725456077
10	0.67041135
11	0.6686971763
12	0.6664543748
13	0.6645151646
14	0.662863838
15	0.6613868752
16	0.6593353664
17	0.6577027522
18	0.6559801023
19	0.6538877258
20	0.6519425495
21	0.6503574072
22	0.6481345768
23	0.6460341671
24	0.6440757789
25	0.6424220213
26	0.6404232907
27	0.6388518864
28	0.6370408292
29	0.6351559404
30	0.6330850103
31	0.6313324459
32	0.6298687928
33	0.6282738673
34	0.6264768963
35	0.6249765268
36	0.6232712092
37	0.6217966864
38	0.6203660771
39	0.619015342
40	0.6173483192
41	0.615863691
42	0.6142934481
43	0.6128942141
44	0.6112872702
45	0.6098906618
46	0.6083106001
47	0.6069762639
48	0.6055993729
49	0.6038956388
50	0.6023056893
51	0.6010058951
52	0.5995874
53	0.5981654123
54	0.5964714276
55	0.5954876499
56	0.5940691707
57	0.5926059092
58	0.5915562591
59	0.5901872523
60	0.5891092427
61	0.5878748554
62	0.5864247082
63	0.5853320648
64	0.5841652401
65	0.5830797348
66	0.581556184
67	0.580249031
68	0.5791785603
69	0.5780826087
70	0.5770079322
71	0.5760312818
72	0.5748044175
73	0.5736149527
74	0.5722054156
75	0.5711812332
76	0.5703010414
77	0.5687665191
78	0.5675882502
79	0.5666252307
80	0.5654307849
81	0.564071166
82	0.563035705
83	0.5619055325
84	0.5605755885
85	0.5596144632
86	0.5585373631
87	0.5577439761
88	0.5566929936
89	0.5556133526
90	0.5545880075
91	0.5533288699
92	0.5524459815
93	0.5516061526
94	0.5504198473
95	0.5495223488
96	0.5488686478
97	0.5478152495
98	0.5466692106
99	0.5456903827
100	0.5446797402
101	0.5436071856
102	0.5427416967
103	0.5415016288
104	0.5405570352
105	0.5395835121
106	0.5389401238
107	0.5379896139
108	0.5371084315
109	0.536132954
110	0.5353850529
111	0.5342985918
112	0.533245805
113	0.5324780979
114	0.5314347143
115	0.5306470196
116	0.5299172999
117	0.52905912
118	0.5281030698
119	0.5272422391
120	0.5264843634
121	0.5256574143
122	0.5251574543
123	0.5243849552
124	0.5237518241
125	0.5230682192
126	0.5220394956
127	0.5214731096
128	0.5206459365
129	0.5197035644
130	0.5189217048
131	0.5182973864
132	0.5175569308
133	0.5167763477
134	0.5159997882
135	0.5152107119
136	0.5146547856
137	0.5139450347
138	0.5131499609
139	0.5124275316
140	0.5116688832
141	0.5108777296
142	0.5103417384
143	0.5095981791
144	0.5089162854
145	0.5083554713
146	0.5077162851
147	0.5071525763
148	0.5065011675
149	0.5056941045
150	0.5051119357
151	0.5044596469
152	0.503748712
153	0.5031177934
154	0.5026826945
155	0.5020349491
156	0.5012967103
157	0.5008108119
158	0.4999376887
159	0.4995547562
160	0.4989426642
161	0.498432986
162	0.4979456156
163	0.4970162608
164	0.4962776462
165	0.4957855523
166	0.4950926169
167	0.4944752435
168	0.4936094763
169	0.4930555215
170	0.4924694525
171	0.4917002474
172	0.4909055298
173	0.4903225939
174	0.4897585368
175	0.4892806236
