iter	Logloss
0	0.6845932211
1	0.67706939
2	0.6696783534
3	0.6632476643
4	0.6555797667
5	0.6479718325
6	0.6413658224
7	0.6341511056
8	0.6292217633
9	0.6248948156
10	0.6186085559
11	0.6131538395
12	0.6078232865
13	0.6025122892
14	0.5961927982
15	0.5894637424
16	0.5844385309
17	0.5804692432
18	0.5762439572
19	0.5719537046
20	0.566776978
21	0.5628210165
22	0.5587360022
23	0.5551390344
24	0.5513949057
25	0.5475010999
26	0.544874631
27	0.5413696783
28	0.5369658902
29	0.5339173994
30	0.5300207477
31	0.5263326829
32	0.5228180194
33	0.5200529071
34	0.5172447602
35	0.5145065993
36	0.5108632943
37	0.5082036408
38	0.5055687558
39	0.5027081558
40	0.5005477707
41	0.4975762083
42	0.494433888
43	0.4919760148
44	0.4894970365
45	0.4859441136
46	0.4845032676
47	0.4808790363
48	0.4779720032
49	0.4755228576
50	0.4729371029
51	0.4710753677
52	0.4682001135
53	0.4668699556
54	0.465042798
55	0.4630468673
56	0.4612068258
57	0.459650624
58	0.4572838501
59	0.4552908404
60	0.453301785
61	0.4517438747
62	0.4505434579
63	0.4488015225
64	0.4464951331
65	0.4447425298
66	0.4422796332
67	0.440689785
68	0.4398607809
69	0.4384087468
70	0.437334992
71	0.4360868139
72	0.434822934
73	0.4327722168
74	0.4315302104
75	0.4297576706
76	0.4282260242
77	0.4270223302
78	0.4254434263
79	0.4236807912
80	0.4227401605
81	0.4215695013
82	0.4202646151
83	0.418652115
84	0.4172702578
85	0.415565254
86	0.4138386722
87	0.41257381
88	0.4110537089
89	0.4102058391
90	0.4088955191
91	0.4080212792
92	0.4059997047
93	0.4043075356
94	0.4033687773
95	0.40272342
96	0.4016077886
97	0.4007066168
98	0.3995900044
99	0.3985755635
100	0.3975832747
101	0.3961814678
102	0.3954022713
103	0.3943910604
104	0.3929033596
105	0.3920694163
106	0.3912171526
107	0.3899396403
108	0.3891063254
109	0.3879738234
110	0.3867007033
111	0.3860581663
112	0.3852834923
113	0.3845885707
114	0.3831019337
115	0.3824231528
116	0.3816812606
117	0.3805404187
118	0.3797802587
119	0.3792522796
120	0.3784075648
121	0.3776871951
122	0.3771096508
123	0.3765356976
124	0.3754487857
125	0.3747787473
126	0.3738270802
127	0.3732855504
128	0.3722131524
129	0.3717602642
130	0.3708294781
131	0.3699093808
132	0.3690412833
133	0.3680974925
134	0.3669354365
135	0.3659231363
136	0.3649859434
137	0.3643123369
138	0.3635157942
139	0.3621357678
140	0.3615458154
141	0.3605989075
142	0.3600335759
143	0.359105977
144	0.3581266124
145	0.35738122
146	0.3567533636
147	0.3560025658
148	0.3555470972
149	0.354863321
150	0.3541177255
151	0.3535623745
152	0.3526721972
153	0.3518333249
154	0.3507986102
155	0.3499475442
156	0.3492177536
157	0.3484495031
158	0.3475252191
159	0.346744846
160	0.3461886987
161	0.3455969416
162	0.3452036562
163	0.3440467357
164	0.3434498161
165	0.3427544285
166	0.3417471695
167	0.3412919128
168	0.3409167818
169	0.3402042266
170	0.3398544288
171	0.3393025218
172	0.3388029193
173	0.3383379542
174	0.3375374257
175	0.3370749616
176	0.3364513921
177	0.3359228958
178	0.3352647023
179	0.3339043744
180	0.3332042707
181	0.332650622
182	0.332272551
183	0.3316445491
184	0.3308229174
185	0.3301692251
186	0.3296164739
187	0.3289788348
188	0.3282026685
189	0.3277609238
190	0.3272382365
191	0.3265703118
192	0.3259726629
193	0.3250978018
194	0.3245402036
195	0.3240275713
196	0.3237891168
197	0.3229266343
198	0.3224217584
199	0.3220730563
200	0.321300322
201	0.320618492
202	0.3202252039
203	0.3198845822
204	0.3194312448
205	0.3188571146
206	0.3183120336
207	0.3174362861
208	0.316965369
209	0.3165764165
210	0.3163828957
211	0.3157471897
212	0.3150659988
213	0.3143338554
214	0.313565407
215	0.3127963447
216	0.312180026
217	0.3118644133
218	0.3114269614
219	0.3109999475
220	0.3108495967
221	0.3104685327
222	0.309913172
223	0.309675195
224	0.3088672847
225	0.3084968467
226	0.3080202327
227	0.3078835982
228	0.3075142788
229	0.3071876696
230	0.306603992
231	0.3061788878
232	0.3050143268
233	0.3046803386
234	0.3042513634
235	0.3036877153
236	0.3033679417
237	0.303077459
238	0.3026776634
239	0.3023203562
240	0.3019307177
241	0.3013627395
242	0.3011555555
243	0.3006820908
244	0.300053734
245	0.2996935207
246	0.2993294883
247	0.298950393
248	0.2981435855
249	0.2976429291
250	0.2971822587
251	0.2967681604
252	0.2965567027
253	0.2960214971
254	0.2957663148
255	0.2954941064
256	0.2950372542
257	0.2947187466
258	0.2940582382
259	0.2937755377
260	0.293533449
261	0.2932539987
262	0.292864424
263	0.2926386549
264	0.2922883693
265	0.2917628402
266	0.2916174846
267	0.2913053305
268	0.2908730675
269	0.2903829763
270	0.2899556818
271	0.2897294381
272	0.2892538127
273	0.2886786238
274	0.2884026794
275	0.2877764106
276	0.2873158821
277	0.2867350428
278	0.2864059372
279	0.2859601908
280	0.285441486
281	0.285026175
282	0.2843961651
283	0.283873449
284	0.2835571717
285	0.2828658378
286	0.2825138418
287	0.2822066549
288	0.2818226586
289	0.2815226941
290	0.2813749844
291	0.2809091244
292	0.2802511278
293	0.2797179864
294	0.2795322786
295	0.2793351003
296	0.278875538
